列表名稱,網址
Gossiping,https://www.ptt.cc/bbs/Gossiping/index.html
Stock,https://www.ptt.cc/bbs/Stock/index.html
C_Chat,https://www.ptt.cc/bbs/C_Chat/index.html
Olympics_ISG,https://www.ptt.cc/bbs/Olympics_ISG/index.html
Tennis,https://www.ptt.cc/bbs/Tennis/index.html
Baseball,https://www.ptt.cc/bbs/Baseball/index.html
NBA,https://www.ptt.cc/bbs/NBA/index.html
Lifeismoney,https://www.ptt.cc/bbs/Lifeismoney/index.html
HatePolitics,https://www.ptt.cc/bbs/HatePolitics/index.html
home-sale,https://www.ptt.cc/bbs/home-sale/index.html
KoreaStar,https://www.ptt.cc/bbs/KoreaStar/index.html
car,https://www.ptt.cc/bbs/car/index.html
LoL,https://www.ptt.cc/bbs/LoL/index.html
Beauty,https://www.ptt.cc/bbs/Beauty/index.html
sex,https://www.ptt.cc/bbs/sex/index.html
BaseballXXXX,https://www.ptt.cc/bbs/BaseballXXXX/index.html
movie,https://www.ptt.cc/bbs/movie/index.html
basketballTW,https://www.ptt.cc/bbs/basketballTW/index.html
PC_Shopping,https://www.ptt.cc/bbs/PC_Shopping/index.html
Tech_Job,https://www.ptt.cc/bbs/Tech_Job/index.html
creditcard,https://www.ptt.cc/bbs/creditcard/index.html
Japan_Travel,https://www.ptt.cc/bbs/Japan_Travel/index.html
Kaohsiung,https://www.ptt.cc/bbs/Kaohsiung/index.html
SportLottery,https://www.ptt.cc/bbs/SportLottery/index.html
Tainan,https://www.ptt.cc/bbs/Tainan/index.html
MobileComm,https://www.ptt.cc/bbs/MobileComm/index.html
FORMULA1,https://www.ptt.cc/bbs/FORMULA1/index.html
Badminton,https://www.ptt.cc/bbs/Badminton/index.html
marriage,https://www.ptt.cc/bbs/marriage/index.html
BabyMother,https://www.ptt.cc/bbs/BabyMother/index.html
japanavgirls,https://www.ptt.cc/bbs/japanavgirls/index.html
Military,https://www.ptt.cc/bbs/Military/index.html
KoreaDrama,https://www.ptt.cc/bbs/KoreaDrama/index.html
Marginalman,https://www.ptt.cc/bbs/Marginalman/index.html
Steam,https://www.ptt.cc/bbs/Steam/index.html
Boy-Girl,https://www.ptt.cc/bbs/Boy-Girl/index.html
TaichungBun,https://www.ptt.cc/bbs/TaichungBun/index.html
WomenTalk,https://www.ptt.cc/bbs/WomenTalk/index.html
PlayStation,https://www.ptt.cc/bbs/PlayStation/index.html
miHoYo,https://www.ptt.cc/bbs/miHoYo/index.html
iOS,https://www.ptt.cc/bbs/iOS/index.html
AllTogether,https://www.ptt.cc/bbs/AllTogether/index.html
HardwareSale,https://www.ptt.cc/bbs/HardwareSale/index.html
Japandrama,https://www.ptt.cc/bbs/Japandrama/index.html
CVS,https://www.ptt.cc/bbs/CVS/index.html
China-Drama,https://www.ptt.cc/bbs/China-Drama/index.html
EAseries,https://www.ptt.cc/bbs/EAseries/index.html
CFantasy,https://www.ptt.cc/bbs/CFantasy/index.html
Elephants,https://www.ptt.cc/bbs/Elephants/index.html
e-shopping,https://www.ptt.cc/bbs/e-shopping/index.html
Lions,https://www.ptt.cc/bbs/Lions/index.html
Drama-Ticket,https://www.ptt.cc/bbs/Drama-Ticket/index.html
CarShop,https://www.ptt.cc/bbs/CarShop/index.html
Gamesale,https://www.ptt.cc/bbs/Gamesale/index.html
biker,https://www.ptt.cc/bbs/biker/index.html
MacShop,https://www.ptt.cc/bbs/MacShop/index.html
AC_In,https://www.ptt.cc/bbs/AC_In/index.html
Hsinchu,https://www.ptt.cc/bbs/Hsinchu/index.html
SET,https://www.ptt.cc/bbs/SET/index.html
KR_Entertain,https://www.ptt.cc/bbs/KR_Entertain/index.html
watch,https://www.ptt.cc/bbs/watch/index.html
mobilesales,https://www.ptt.cc/bbs/mobilesales/index.html
BeautySalon,https://www.ptt.cc/bbs/BeautySalon/index.html
Railway,https://www.ptt.cc/bbs/Railway/index.html
Headphone,https://www.ptt.cc/bbs/Headphone/index.html
PathofExile,https://www.ptt.cc/bbs/PathofExile/index.html
Wanted,https://www.ptt.cc/bbs/Wanted/index.html
DigiCurrency,https://www.ptt.cc/bbs/DigiCurrency/index.html
marvel,https://www.ptt.cc/bbs/marvel/index.html
MLB,https://www.ptt.cc/bbs/MLB/index.html
Vtuber,https://www.ptt.cc/bbs/Vtuber/index.html
PuzzleDragon,https://www.ptt.cc/bbs/PuzzleDragon/index.html
Aviation,https://www.ptt.cc/bbs/Aviation/index.html
E-appliance,https://www.ptt.cc/bbs/E-appliance/index.html
e-coupon,https://www.ptt.cc/bbs/e-coupon/index.html
joke,https://www.ptt.cc/bbs/joke/index.html
MakeUp,https://www.ptt.cc/bbs/MakeUp/index.html
Bank_Service,https://www.ptt.cc/bbs/Bank_Service/index.html
Djokovic,https://www.ptt.cc/bbs/Djokovic/index.html
PokemonGO,https://www.ptt.cc/bbs/PokemonGO/index.html
